station_id,station_name_th,station_name_en,area_th,latitude,longitude,reading_date,reading_time,pm25_ugm3,pm25_aqi,pm10_ugm3,aqi,is_chiang_mai,is_northern,retrieved_at
119t,สวนสาธารณะธารา,Thara Public Park,"ต.ปากน้ำ อ.เมือง, กระบี่",8.0506237,98.9180489,2026-09-05,02:00,6.1,10.0,,10,False,False,2026-09-05T02:38:09
02t,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University,"แขวงหิรัญรูจี เขตธนบุรี, กรุงเทพฯ",13.732846,100.487662,2026-09-05,02:00,15.1,26.0,,26,False,False,2026-09-05T02:38:09
03t,ริมถนนทางหลวงหมายเลข 3902 ,Highway NO.3902 km.13 +600,"ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ",13.636514,100.414262,2026-09-04,17:00,18.1,33.0,,33,False,False,2026-09-05T02:38:09
05t,กรมอุตุนิยมวิทยาบางนา,Thai Meteorological Department ,"แขวงบางนา เขตบางนา, กรุงเทพฯ",13.666183,100.605742,2026-09-04,17:00,15.2,26.0,,26,False,False,2026-09-05T02:38:09
12t,โรงเรียนนนทรีวิทยา ,Nonsi Witthaya School,"แขวงช่องนนทรี เขตยานนาวา, กรุงเทพฯ",13.70806667,100.5473333,2026-09-04,17:00,15.1,26.0,,26,False,False,2026-09-05T02:38:09
50t,โรงพยาบาลจุฬาลงกรณ์,Chulalongkorn Hospital,"ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ",13.729852,100.536501,2026-09-05,02:00,18.6,34.0,,34,False,False,2026-09-05T02:38:09
52t,การไฟฟ้าย่อยธนบุรี ,Thonburi Power Sub-Station,"ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ",13.727622,100.486568,2026-09-05,02:00,17.1,31.0,,31,False,False,2026-09-05T02:38:09
53t,สถานีตำรวจนครบาลโชคชัย ,Chokchai Police Station,"ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ",13.7954248,100.5930298,2026-09-05,02:00,16.5,29.0,,29,False,False,2026-09-05T02:38:09
54t,การเคหะชุมชนดินแดง ,National Housing Authority Dindaeng,"ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ",13.76251667,100.5502,2026-09-04,17:00,18.2,34.0,,34,False,False,2026-09-05T02:38:09
59t,กรมประชาสัมพันธ์,The Government Public Relations Department ,"แขวงพญาไท เขตพญาไท, กรุงเทพฯ",13.783185,100.540489,2026-09-05,02:00,13.5,23.0,28.0,23,False,False,2026-09-05T02:38:09
61t,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,Bodindecha Sing Singhaseni School,"แขวงพลับพลา เขตวังทองหลาง, กรุงเทพฯ",13.769634,100.614567,2026-09-05,02:00,15.8,28.0,,28,False,False,2026-09-05T02:38:09
bkp100t,สำนักงานเขตบึงกุ่ม,"Bueng Kum District Office, Bangkok",แขวงคลองกุ่ม เขตบึงกุ่ม,13.785212,100.669183,2026-09-05,02:00,10.6,18.0,,18,False,False,2026-09-05T02:38:09
bkp101t,สำนักงานเขตคลองสามวา,"Khlong Sam Wa District Office, Bangkok","เขตคลองสามวา, กรุงเทพฯ",13.859911,100.704002,2026-09-05,02:00,14.8,25.0,29.0,25,False,False,2026-09-05T02:38:09
bkp102t,สำนักงานเขตจอมทอง,"Chomthong District Office, Bangkok","เขตจอมทอง, กรุงเทพฯ",13.677757,100.483861,2026-09-05,02:00,12.8,21.0,56.0,30,False,False,2026-09-05T02:38:09
bkp103t,สำนักงานเขตบางพลัด,"Bang Phlat District Office, Bangkok","ริมถนนจรัญสนิทวงศ์ เขตบางพลัด, กรุงเทพฯ",13.793965,100.504956,2026-09-05,02:00,16.3,29.0,,29,False,False,2026-09-05T02:38:09
bkp104t,สำนักงานเขตบางแค,"Bang Khae District Office, Bangkok","เขตบางแค, กรุงเทพฯ",13.696314,100.409049,2026-09-05,02:00,13.3,22.0,35.0,22,False,False,2026-09-05T02:38:09
bkp105t,สำนักงานเขตบางขุนเทียน,"Bang Khun Thian District Office, Bangkok","ริมถนนพระราม 2 เขตบางขุนเทียน, กรุงเทพฯ",13.659908,100.435902,2026-09-05,02:00,20.5,39.0,,39,False,False,2026-09-05T02:38:09
bkp114t,สวนลุมพินี ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน,Lumpini park,สวนลุมพินี เขตปทุมวัน,13.732225,100.5448381,2026-09-05,02:00,10.9,18.0,,18,False,False,2026-09-05T02:38:09
bkp115t,สวนวชิรเบญจทัศ ถนนกำแพงเพชร 3 แขวงลาดยาว เขตจตุจักร,Wacchirabenchatat Park,สวนวชิรเบญจทัศ เขตจตุจักร,13.8118516,100.5535825,2026-09-05,02:00,10.8,18.0,,18,False,False,2026-09-05T02:38:09
bkp116t,สวนจตุจักร ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร,Chatuchak Park,สวนจตุจักร เขตจตุจักร,13.802546,100.5509191,2026-09-05,02:00,11.6,19.0,,19,False,False,2026-09-05T02:38:09
bkp117t,สวนหลวง ร.9 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ,Suan Luang Rama IX,สวนหลวง ร.9 เขตประเวศ,13.6881393,100.6579657,2026-09-05,02:00,10.6,18.0,,18,False,False,2026-09-05T02:38:09
bkp118t,สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ ถนนเคหะร่มเกล้า เขตลาดกระบัง,"60th Anniversary of Queen Sirikit Park ,Kheha Romklao Road, Lat Krabang, Bangkok",สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ เขตลาดกระบัง,13.7631141,100.7302101,2026-09-05,02:00,15.8,28.0,,28,False,False,2026-09-05T02:38:09
bkp119t,อุทยานเบญจสิริ,Benchasiri Park,อุทยานเบญจสิริ เขตคลองเตย,13.7304916,100.5684634,2026-09-05,02:00,14.0,23.0,,23,False,False,2026-09-05T02:38:09
bkp120t,สวนรมณีย์ทุ่งสีกัน,Rommani Thungsikan Park,สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,13.9288678,100.5684666,2026-09-05,02:00,13.9,23.0,,23,False,False,2026-09-05T02:38:09
bkp121t,สวนธนบุรีรมย์,Thonburirom Park,สวนธนบุรีรมย์ เขตทุ่งครุ,13.6502295,100.4909771,2026-09-05,02:00,11.6,19.0,,19,False,False,2026-09-05T02:38:09
bkp122t,สวนเบญจกิติ,Benjakitti Park,สวนเบญจกิติ เขตคลองเตย,13.7328791,100.5600172,2026-09-05,02:00,11.8,20.0,,20,False,False,2026-09-05T02:38:09
bkp123t,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,Queen Sirikit Park,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,13.8055472,100.5488338,2026-09-05,02:00,11.5,19.0,,19,False,False,2026-09-05T02:38:09
bkp124t,สวนเฉลิมพระเกียรติ 80 พรรษา,80th Anniversary Commemoration Park,สวนเฉลิมพระเกียรติ 80 พรรษา เขตบางกอกน้อย,13.7716446,100.4681128,2026-09-05,02:00,17.5,32.0,,32,False,False,2026-09-05T02:38:09
