stationID,nameTH,nameEN,areaTH,areaEN,stationType,lat,long,forecast,AQILast.date,AQILast.time,AQILast.PM25.color_id,AQILast.PM25.aqi,AQILast.PM25.value,AQILast.PM10.color_id,AQILast.PM10.aqi,AQILast.PM10.value,AQILast.O3.color_id,AQILast.O3.aqi,AQILast.O3.value,AQILast.CO.color_id,AQILast.CO.aqi,AQILast.CO.value,AQILast.NO2.color_id,AQILast.NO2.aqi,AQILast.NO2.value,AQILast.SO2.color_id,AQILast.SO2.aqi,AQILast.SO2.value,AQILast.AQI.color_id,AQILast.AQI.aqi,AQILast.AQI.param
119t,สวนสาธารณะธารา,Thara Public Park,"ต.ปากน้ำ อ.เมือง, กระบี่","Pak Nam Subdistrict, Mueang District, Krabi",GROUND,8.0506237,98.9180489,[],2026-09-05,02:00,1,10,6.1,0,-1,-1,1,5,7,1,8,1.40,1,1,3,1,1,2,1,10,PM25
02t,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University,"แขวงหิรัญรูจี เขตธนบุรี, กรุงเทพฯ","Hiran Ruchi, Khet Thon Buri, Bangkok",GROUND,13.732846,100.487662,[],2026-09-05,02:00,2,26,15.1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,26,PM25
03t,ริมถนนทางหลวงหมายเลข 3902 ,Highway NO.3902 km.13 +600,"ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ","Kanchanaphisek Rd, Bang Khun Thian, Bangkok",GROUND,13.636514,100.414262,[],2026-09-04,17:00,2,33,18.1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-999,-1,2,33,PM25
05t,กรมอุตุนิยมวิทยาบางนา,Thai Meteorological Department ,"แขวงบางนา เขตบางนา, กรุงเทพฯ","Bang Na, Khet Bang Na, Bangkok",GROUND,13.666183,100.605742,[],2026-09-04,17:00,2,26,15.2,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,26,PM25
12t,โรงเรียนนนทรีวิทยา ,Nonsi Witthaya School,"แขวงช่องนนทรี เขตยานนาวา, กรุงเทพฯ","Chong Nonsi, Khet Yannawa, Bangkok",GROUND,13.70806667,100.5473333,[],2026-09-04,17:00,2,26,15.1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,26,PM25
50t,โรงพยาบาลจุฬาลงกรณ์,Chulalongkorn Hospital,"ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ","Rama IV Rd. Khet Pathum Wan, Bangkok",GROUND,13.729852,100.536501,[],2026-09-05,02:00,2,34,18.6,0,-1,-1,0,-999,-1,0,-1,-1,0,-1,-1,0,-999,-1,2,34,PM25
52t,การไฟฟ้าย่อยธนบุรี ,Thonburi Power Sub-Station,"ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ","Intarapitak Rd. Khet Thon Buri, Bangkok",GROUND,13.727622,100.486568,[],2026-09-05,02:00,2,31,17.1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,31,PM25
53t,สถานีตำรวจนครบาลโชคชัย ,Chokchai Police Station,"ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ","Lat Phrao Rd. Khet Wang Thonglang, Bangkok",GROUND,13.7954248,100.5930298,[],2026-09-05,02:00,2,29,16.5,0,-1,-1,0,-999,-1,0,-1,-1,0,-1,-1,0,-999,-1,2,29,PM25
54t,การเคหะชุมชนดินแดง ,National Housing Authority Dindaeng,"ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng Rd. Khet Din Daeng, Bangkok",GROUND,13.76251667,100.5502,[],2026-09-04,17:00,2,34,18.2,0,-1,-1,0,-1,-1,1,0,0.00,0,-1,-1,0,-1,-1,2,34,PM25
59t,กรมประชาสัมพันธ์,The Government Public Relations Department ,"แขวงพญาไท เขตพญาไท, กรุงเทพฯ","Phaya Thai, Khet Phaya Thai, Bangkok",GROUND,13.783185,100.540489,[],2026-09-05,02:00,1,23,13.5,1,14,28,1,9,12,1,2,0.40,1,3,6,0,-999,-1,1,23,PM25
61t,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,Bodindecha Sing Singhaseni School,"แขวงพลับพลา เขตวังทองหลาง, กรุงเทพฯ","Pubpla, Khet Wang Thonglang, Bangkok",GROUND,13.769634,100.614567,[],2026-09-05,02:00,2,28,15.8,0,-1,-1,0,-1,-1,0,-999,-1,0,-1,-1,0,-1,-1,2,28,PM25
bkp100t,สำนักงานเขตบึงกุ่ม,"Bueng Kum District Office, Bangkok",แขวงคลองกุ่ม เขตบึงกุ่ม,"Khlong Kum, Bueng Kum, Bangkok",BKK,13.785212,100.669183,[],2026-09-05,02:00,1,18,10.6,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,18,PM25
bkp101t,สำนักงานเขตคลองสามวา,"Khlong Sam Wa District Office, Bangkok","เขตคลองสามวา, กรุงเทพฯ","Khlong Sam Wa, Bangkok",BKK,13.859911,100.704002,[],2026-09-05,02:00,1,25,14.8,1,15,29,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,25,PM25
bkp102t,สำนักงานเขตจอมทอง,"Chomthong District Office, Bangkok","เขตจอมทอง, กรุงเทพฯ","Chomthong, Bangkok",BKK,13.677757,100.483861,[],2026-09-05,02:00,1,21,12.8,2,30,56,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,2,30,PM10
bkp103t,สำนักงานเขตบางพลัด,"Bang Phlat District Office, Bangkok","ริมถนนจรัญสนิทวงศ์ เขตบางพลัด, กรุงเทพฯ","Charansanitwong Roadside, Bangkok",BKK,13.793965,100.504956,[],2026-09-05,02:00,2,29,16.3,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,2,29,PM25
bkp104t,สำนักงานเขตบางแค,"Bang Khae District Office, Bangkok","เขตบางแค, กรุงเทพฯ","Bang Khae, Bangkok",BKK,13.696314,100.409049,[],2026-09-05,02:00,1,22,13.3,1,18,35,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,22,PM25
bkp105t,สำนักงานเขตบางขุนเทียน,"Bang Khun Thian District Office, Bangkok","ริมถนนพระราม 2 เขตบางขุนเทียน, กรุงเทพฯ","RamaII Roadside,  Bang Khun Thian, Bangkok",BKK,13.659908,100.435902,[],2026-09-05,02:00,2,39,20.5,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,2,39,PM25
bkp114t,สวนลุมพินี ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน,Lumpini park,สวนลุมพินี เขตปทุมวัน,"Lumpini park, Pathum Wan, Bangkok",BKK,13.732225,100.5448381,[],2026-09-05,02:00,1,18,10.9,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,18,PM25
bkp115t,สวนวชิรเบญจทัศ ถนนกำแพงเพชร 3 แขวงลาดยาว เขตจตุจักร,Wacchirabenchatat Park,สวนวชิรเบญจทัศ เขตจตุจักร,"Wacchirabenchatat Park, Chatuchak, Bangkok",BKK,13.8118516,100.5535825,[],2026-09-05,02:00,1,18,10.8,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,18,PM25
bkp116t,สวนจตุจักร ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร,Chatuchak Park,สวนจตุจักร เขตจตุจักร,"Chatuchak Park, Chatuchak, Bangkok",BKK,13.802546,100.5509191,[],2026-09-05,02:00,1,19,11.6,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,19,PM25
bkp117t,สวนหลวง ร.9 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ,Suan Luang Rama IX,สวนหลวง ร.9 เขตประเวศ,"Suan Luang Rama IX, Pravet, Bangkok",BKK,13.6881393,100.6579657,[],2026-09-05,02:00,1,18,10.6,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,18,PM25
bkp118t,สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ ถนนเคหะร่มเกล้า เขตลาดกระบัง,"60th Anniversary of Queen Sirikit Park ,Kheha Romklao Road, Lat Krabang, Bangkok",สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ เขตลาดกระบัง,"60th Anniversary of Queen Sirikit Park, Lat Krabang, Bangkok",BKK,13.7631141,100.7302101,[],2026-09-05,02:00,2,28,15.8,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,2,28,PM25
bkp119t,อุทยานเบญจสิริ,Benchasiri Park,อุทยานเบญจสิริ เขตคลองเตย,"Benchasiri Park, Klong Toei, Bangkok",BKK,13.7304916,100.5684634,[],2026-09-05,02:00,1,23,14.0,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,23,PM25
bkp120t,สวนรมณีย์ทุ่งสีกัน,Rommani Thungsikan Park,สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,"Rommani Thungsikan Park, Don Mueang, Bangkok",BKK,13.9288678,100.5684666,[],2026-09-05,02:00,1,23,13.9,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,23,PM25
bkp121t,สวนธนบุรีรมย์,Thonburirom Park,สวนธนบุรีรมย์ เขตทุ่งครุ,"Thonburirom Park, Thung Khru, Bangkok",BKK,13.6502295,100.4909771,[],2026-09-05,02:00,1,19,11.6,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,19,PM25
bkp122t,สวนเบญจกิติ,Benjakitti Park,สวนเบญจกิติ เขตคลองเตย,"Benjakitti Park, Khlong Toei, Bangkok",BKK,13.7328791,100.5600172,[],2026-09-05,02:00,1,20,11.8,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,20,PM25
bkp123t,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,Queen Sirikit Park,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,"Queen Sirikit Park, Chatuchak, Bangkok",BKK,13.8055472,100.5488338,[],2026-09-05,02:00,1,19,11.5,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,19,PM25
