fetch_id,source_name,endpoint_url,location,req_lat,req_lon,grid_lat,grid_lon,elevation_m,variables,start_date,end_date,timezone,rows_returned,retrieved_at,from_cache,status,raw_file
openmeteo_air_mueang_chiang_mai_2023-01-01_2023-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_chiang_mai,18.7883,98.9853,18.800003,99.0,313.0,"pm2_5,pm10,carbon_monoxide,dust",2023-01-01,2023-12-31,Asia/Bangkok,8760,2026-09-05T02:36:31,False,success,openmeteo_air_mueang_chiang_mai_2023-01-01_2023-12-31.json
openmeteo_air_mueang_chiang_mai_2024-01-01_2024-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_chiang_mai,18.7883,98.9853,18.800003,99.0,313.0,"pm2_5,pm10,carbon_monoxide,dust",2024-01-01,2024-12-31,Asia/Bangkok,8784,2026-09-05T02:36:33,False,success,openmeteo_air_mueang_chiang_mai_2024-01-01_2024-12-31.json
openmeteo_air_mueang_chiang_mai_2025-01-01_2025-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_chiang_mai,18.7883,98.9853,18.800003,99.0,313.0,"pm2_5,pm10,carbon_monoxide,dust",2025-01-01,2025-12-31,Asia/Bangkok,8760,2026-09-05T02:36:35,False,success,openmeteo_air_mueang_chiang_mai_2025-01-01_2025-12-31.json
openmeteo_air_mueang_chiang_mai_2026-01-01_2026-08-29,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_chiang_mai,18.7883,98.9853,18.800003,99.0,313.0,"pm2_5,pm10,carbon_monoxide,dust",2026-01-01,2026-08-29,Asia/Bangkok,5784,2026-09-05T02:36:37,False,success,openmeteo_air_mueang_chiang_mai_2026-01-01_2026-08-29.json
openmeteo_air_mae_hong_son_2023-01-01_2023-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mae_hong_son,19.302,97.965,19.300003,98.0,260.0,"pm2_5,pm10,carbon_monoxide,dust",2023-01-01,2023-12-31,Asia/Bangkok,8760,2026-09-05T02:36:39,False,success,openmeteo_air_mae_hong_son_2023-01-01_2023-12-31.json
openmeteo_air_mae_hong_son_2024-01-01_2024-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mae_hong_son,19.302,97.965,19.300003,98.0,260.0,"pm2_5,pm10,carbon_monoxide,dust",2024-01-01,2024-12-31,Asia/Bangkok,8784,2026-09-05T02:36:41,False,success,openmeteo_air_mae_hong_son_2024-01-01_2024-12-31.json
openmeteo_air_mae_hong_son_2025-01-01_2025-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mae_hong_son,19.302,97.965,19.300003,98.0,260.0,"pm2_5,pm10,carbon_monoxide,dust",2025-01-01,2025-12-31,Asia/Bangkok,8760,2026-09-05T02:36:43,False,success,openmeteo_air_mae_hong_son_2025-01-01_2025-12-31.json
openmeteo_air_mae_hong_son_2026-01-01_2026-08-29,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mae_hong_son,19.302,97.965,19.300003,98.0,260.0,"pm2_5,pm10,carbon_monoxide,dust",2026-01-01,2026-08-29,Asia/Bangkok,5784,2026-09-05T02:36:44,False,success,openmeteo_air_mae_hong_son_2026-01-01_2026-08-29.json
openmeteo_air_mueang_chiang_rai_2023-01-01_2023-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_chiang_rai,19.9086,99.8325,19.900002,99.80002,400.0,"pm2_5,pm10,carbon_monoxide,dust",2023-01-01,2023-12-31,Asia/Bangkok,8760,2026-09-05T02:36:46,False,success,openmeteo_air_mueang_chiang_rai_2023-01-01_2023-12-31.json
openmeteo_air_mueang_chiang_rai_2024-01-01_2024-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_chiang_rai,19.9086,99.8325,19.900002,99.80002,400.0,"pm2_5,pm10,carbon_monoxide,dust",2024-01-01,2024-12-31,Asia/Bangkok,8784,2026-09-05T02:36:48,False,success,openmeteo_air_mueang_chiang_rai_2024-01-01_2024-12-31.json
openmeteo_air_mueang_chiang_rai_2025-01-01_2025-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_chiang_rai,19.9086,99.8325,19.900002,99.80002,400.0,"pm2_5,pm10,carbon_monoxide,dust",2025-01-01,2025-12-31,Asia/Bangkok,8760,2026-09-05T02:36:50,False,success,openmeteo_air_mueang_chiang_rai_2025-01-01_2025-12-31.json
openmeteo_air_mueang_chiang_rai_2026-01-01_2026-08-29,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_chiang_rai,19.9086,99.8325,19.900002,99.80002,400.0,"pm2_5,pm10,carbon_monoxide,dust",2026-01-01,2026-08-29,Asia/Bangkok,5784,2026-09-05T02:36:52,False,success,openmeteo_air_mueang_chiang_rai_2026-01-01_2026-08-29.json
openmeteo_air_mueang_lampang_2023-01-01_2023-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_lampang,18.2855,99.513,18.300003,99.5,244.0,"pm2_5,pm10,carbon_monoxide,dust",2023-01-01,2023-12-31,Asia/Bangkok,8760,2026-09-05T02:36:54,False,success,openmeteo_air_mueang_lampang_2023-01-01_2023-12-31.json
openmeteo_air_mueang_lampang_2024-01-01_2024-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_lampang,18.2855,99.513,18.300003,99.5,244.0,"pm2_5,pm10,carbon_monoxide,dust",2024-01-01,2024-12-31,Asia/Bangkok,8784,2026-09-05T02:36:55,False,success,openmeteo_air_mueang_lampang_2024-01-01_2024-12-31.json
openmeteo_air_mueang_lampang_2025-01-01_2025-12-31,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_lampang,18.2855,99.513,18.300003,99.5,244.0,"pm2_5,pm10,carbon_monoxide,dust",2025-01-01,2025-12-31,Asia/Bangkok,8760,2026-09-05T02:36:57,False,success,openmeteo_air_mueang_lampang_2025-01-01_2025-12-31.json
openmeteo_air_mueang_lampang_2026-01-01_2026-08-29,Open-Meteo Air Quality (CAMS),https://air-quality-api.open-meteo.com/v1/air-quality,mueang_lampang,18.2855,99.513,18.300003,99.5,244.0,"pm2_5,pm10,carbon_monoxide,dust",2026-01-01,2026-08-29,Asia/Bangkok,5784,2026-09-05T02:36:59,False,success,openmeteo_air_mueang_lampang_2026-01-01_2026-08-29.json
