task,model,metric,value
regression,baseline_persistence,mae,4.118208516886931
regression,baseline_persistence,rmse,6.043518438682717
regression,baseline_persistence,r2,0.8018798513241951
regression,baseline_persistence,mae_burning_season,6.845555555555555
regression,baseline_persistence,mae_transition_days,14.079166666666666
regression,ridge,cv_mae_mean,4.382894305702701
regression,ridge,cv_mae_std,1.0897643626490026
regression,ridge,mae,4.303377898062619
regression,ridge,rmse,6.260571536698554
regression,ridge,r2,0.7873933193430254
regression,ridge,mae_burning_season,6.529290891035288
regression,ridge,mae_transition_days,11.790848239716155
regression,hgb,cv_mae_mean,5.043709362336019
regression,hgb,cv_mae_std,1.6125972084230806
regression,hgb,mae,3.946012480476154
regression,hgb,rmse,5.851860800864951
regression,hgb,r2,0.8142465382364217
regression,hgb,mae_burning_season,6.424391218347138
regression,hgb,mae_transition_days,12.097630123053637
classification,baseline_majority,accuracy,0.9008810572687225
classification,baseline_majority,recall,0.0
classification,baseline_majority,precision,0.0
classification,baseline_majority,f1,0.0
classification,baseline_persistence,accuracy,0.9647577092511013
classification,baseline_persistence,recall,0.8222222222222222
classification,baseline_persistence,precision,0.8222222222222222
classification,baseline_persistence,f1,0.8222222222222222
classification,logreg,cv_pr_auc_mean,0.352671156973702
classification,logreg,cv_pr_auc_std,0.3060377203179686
classification,logreg,accuracy,0.9361233480176211
classification,logreg,recall,0.8666666666666667
classification,logreg,precision,0.6290322580645161
classification,logreg,f1,0.7289719626168224
classification,logreg,pr_auc,0.8774233100061202
classification,logreg,roc_auc,0.9786471067644662
classification,logreg,threshold,0.5
classification,hgb,cv_pr_auc_mean,0.39877906528731655
classification,hgb,cv_pr_auc_std,0.2681324831622921
classification,hgb,accuracy,0.947136563876652
classification,hgb,recall,0.5777777777777777
classification,hgb,precision,0.8387096774193549
classification,hgb,f1,0.6842105263157895
classification,hgb,pr_auc,0.824384292310076
classification,hgb,roc_auc,0.969682151589242
classification,hgb,threshold,0.5
classification,operating_point_recall90,threshold,0.34403594355391187
classification,operating_point_recall90,recall,0.9111111111111111
classification,operating_point_recall90,precision,0.6119402985074627
classification,operating_point_recall90,false_alarms,26.0
classification,operating_point_recall90,missed_dangerous_days,4.0
